feature,mean,scale
open,1.2919148516886931,0.0671008839546024
high,1.2930899140969163,0.06693379737405004
low,1.2907083568281938,0.06728400519337709
close,1.2918848876651983,0.06710851696152975
tick_volume,4385.106387665198,3009.046708029733
hour,16.313362701908957,5.515846667843567
day_of_week,3.203891336270191,1.3515312944511817
rsi,49.65821585903084,13.549990959800438
atr,0.002295314243759178,0.0009133649825849396
macd_main,-3.207195301027901e-05,0.0017529921332392457
macd_signal,-2.1016152716593257e-05,0.0015657471495432991
bands_upper,1.2967892606461087,0.06650135232152342
bands_lower,1.2871802393538914,0.06780127320330866
stoch_main,49.896389133627025,25.96342373328876
stoch_signal,50.00172026431718,24.058996120913353
adx_main,29.942561674008807,11.538578563498197
adx_plus_di,17.84395374449339,7.555687392092358
adx_minus_di,18.304504405286345,7.764143072302994
rsi_h4,49.50721806167401,12.78515599532113
ma_h4,1.2920059148311307,0.06690025291986305
rsi_m15,49.84583773861968,12.515163066813908
atr_m15,0.0012717540381791484,0.0005907620825520175
body,-2.9964023494860547e-05,0.0017656528471585956
upper_wick,0.000601751835535976,0.000645307972167578
lower_wick,0.0006032202643171806,0.0006598915920850038
log_return,-2.4267767925614374e-05,0.0014097558378238736
volatility_20,0.0011139027859378783,0.0005852635749021315
news_event_present,1.0,1.0
news_event_count,4.561306901615271,4.520387888450749
news_max_importance,2.181130690161527,0.6815240860280591
news_nearest_offset_hours,0.8114280469897212,0.6894160496241113
base_news_count,1.1011747430249632,2.8409190308941055
base_max_importance,0.6704111600587371,1.0135454011965193
base_actual_sum,15.115082305433189,88.551641063928
base_forecast_sum,5.837336930983848,46.67013638034153
base_previous_sum,15.033913582966225,88.61181556095943
base_surprise_actual_forecast_sum,9.277745374449339,89.97888076196949
base_surprise_actual_previous_sum,0.08116872246696022,65.57394216926924
quote_news_count,3.460132158590308,4.29603300057221
quote_max_importance,1.6571953010279001,1.1437259377117666
quote_actual_sum,206.77889897209988,809.5543590518804
quote_forecast_sum,114.57137305433184,2914.6033750035426
quote_previous_sum,206.63824992657857,804.9462008952798
quote_surprise_actual_forecast_sum,92.207525917768,2874.200921846923
quote_surprise_actual_previous_sum,0.14064904552129123,842.6271902395573
