feature,mean,scale
open,0.7072858316951459,0.04170281019332711
high,0.7079597814910026,0.04164169104959077
low,0.7065915114169061,0.04177327161425645
close,0.7072681286859218,0.04171172398531837
tick_volume,2941.0217752910935,2155.3032686673296
hour,14.876153031906851,7.224506420425611
day_of_week,3.1389686980190534,1.3430989085458587
rsi,49.74574020867988,12.989130380630343
atr,0.0014040155753818238,0.0005552684876354103
macd_main,-2.6297444427642534e-05,0.0010853231086886351
macd_signal,-1.9293815212460308e-05,0.001011097473555767
bands_upper,0.7103942454256768,0.041430576758875376
bands_lower,0.7042592287917737,0.04198020548926649
stoch_main,50.04453500680478,25.852953380068037
stoch_signal,50.00416452442159,23.809252248909452
adx_main,30.28767200967791,11.463079073945417
adx_plus_di,17.94212687131408,7.55427686358752
adx_minus_di,18.354236352638743,7.720437061140263
rsi_h4,49.506040375018905,12.3441478806609
ma_h4,0.7073859110842281,0.04158287583380162
rsi_m15,49.89167699984878,12.498406597986557
atr_m15,0.0007225759866928776,0.00035836301963713095
body,-1.7703009224255626e-05,0.0010253402033933467
upper_wick,0.0003415046121276277,0.00038024573403700254
lower_wick,0.00034417208528655723,0.0003883804913273751
log_return,-2.4509673018798178e-05,0.0014914079106139993
volatility_20,0.001276478198763324,0.0006653779842564946
news_event_present,1.0,1.0
news_event_count,4.11915923181612,4.06878151193745
news_max_importance,2.1372296990775745,0.6863209530829748
news_nearest_offset_hours,0.8127816422198698,0.6729798104553706
base_news_count,0.555950400725843,1.2063361849159497
base_max_importance,0.4801905337970664,0.8550341898950727
base_actual_sum,6.858240133071224,33.26860814361639
base_forecast_sum,4.488499319522154,21.30210780287935
base_previous_sum,6.8601770754574325,33.18688229400945
base_surprise_actual_forecast_sum,2.36974081354907,25.140070042034413
base_surprise_actual_previous_sum,-0.0019369423862089432,20.073568309745735
quote_news_count,3.5632088310902765,4.3172228961740435
quote_max_importance,1.7065628307878422,1.1237564441483658
quote_actual_sum,212.93880266142446,820.7253927192547
quote_forecast_sum,117.98443225464993,2957.6294506967356
quote_previous_sum,212.79396370784815,816.0456161856164
quote_surprise_actual_forecast_sum,94.95437040677454,2916.652985776007
quote_surprise_actual_previous_sum,0.14483895357628976,855.0859359721248
