feature,mean,scale
open,117.74310943986933,14.029501769483968
high,117.82509963928403,14.052711391180903
low,117.65626897161914,14.001919791544346
close,117.74343626216564,14.031075590417945
tick_volume,3473.0559450078267,2624.3046132628915
hour,14.293609201660654,7.07057388297759
day_of_week,3.152861907030559,1.3609629868602018
rsi,51.30549717552576,13.38174935688971
atr,0.1694421833526169,0.10297297451706837
macd_main,0.00840903831756619,0.1569055869381152
macd_signal,0.00869815558429184,0.14472721469221425
bands_upper,118.11609528346833,14.169014432776533
bands_lower,117.35157428707547,13.8905375706306
stoch_main,52.62437078881099,24.964099203133387
stoch_signal,52.63991288368611,23.124692963817466
adx_main,30.17740420608453,11.663454276365643
adx_plus_di,18.414299326209758,7.65059024546691
adx_minus_di,17.56918600694208,7.547295505837575
rsi_h4,51.87409991152249,12.861881165325686
ma_h4,117.6957355203158,14.002376872742548
rsi_m15,50.69307833662288,12.585518788950123
atr_m15,0.08634785271898184,0.05955512898997027
body,0.00032682229633159657,0.13896011809792097
upper_wick,0.040767576396923674,0.04789543392203732
lower_wick,0.04594466752875521,0.059434314671558484
log_return,-7.809909497939946e-07,0.0011181429015897216
volatility_20,0.0009125509319978388,0.0005837769043229611
news_event_present,1.0,1.0
news_event_count,4.196624242836725,3.9752942244392315
news_max_importance,2.075886476553461,0.7410339576494682
news_nearest_offset_hours,0.7904047278749519,0.6720517299088862
base_news_count,3.2082624378955966,4.233573127254322
base_max_importance,1.5363098073912747,1.1825162589863547
base_actual_sum,191.7249849588239,781.2976052956789
base_forecast_sum,106.20445797318452,2806.3205762045736
base_previous_sum,191.58701858027635,776.8647258097265
base_surprise_actual_forecast_sum,85.52052698563944,2767.3713611193148
base_surprise_actual_previous_sum,0.13796637854760543,811.2768107422654
quote_news_count,0.9883618049411285,1.9628519335661911
quote_max_importance,0.5823181106649424,0.9190204203308794
quote_actual_sum,44.855065133056556,455.6371795218263
quote_forecast_sum,23.193993057918735,415.6863894347063
quote_previous_sum,45.24460736405091,459.63146695347655
quote_surprise_actual_forecast_sum,21.66107207513782,395.30849111824824
quote_surprise_actual_previous_sum,-0.38954223099435065,370.74820195984125
