feature,mean,scale
open,1.1263733125167874,0.05903472167741897
high,1.1271920010744023,0.058941314244397656
low,1.1255336395380071,0.059107649177977235
close,1.1263399200913242,0.05902121214556858
tick_volume,3709.7573865162503,2677.690110572786
hour,16.068963201719043,5.625560972963627
day_of_week,3.134703196347032,1.377649216684344
rsi,49.271020010744024,13.523330224777778
atr,0.0015905331721729787,0.0006233476663108222
macd_main,-2.7396588772495303e-05,0.0012012316840670334
macd_signal,-1.4405049691109316e-05,0.0010781596255341325
bands_upper,1.1297419836153637,0.0587717780201245
bands_lower,1.1231392828364222,0.059395971208201975
stoch_main,49.08184058554929,25.71506860919712
stoch_signal,49.25480392156862,23.831850502428356
adx_main,30.082702793446146,11.468768904031986
adx_plus_di,17.784541364491,7.514943850416136
adx_minus_di,18.341157668546874,7.648561108430654
rsi_h4,49.10845353209777,12.795710500171264
ma_h4,1.1265061892291164,0.058990228091409976
rsi_m15,49.68237980123556,12.509587510024213
atr_m15,0.0009042096427612142,0.0004167181003034961
body,-3.3392425463336635e-05,0.0012179685196994578
upper_wick,0.00042572455009401,0.00044890051927905407
lower_wick,0.00041331654579640156,0.0004416935559957984
log_return,-2.816873702362404e-05,0.0011087396447778605
volatility_20,0.0008837326461401897,0.0004355721367127874
news_event_present,1.0,1.0
news_event_count,4.310233682514101,4.191099893544999
news_max_importance,2.2340182648401825,0.6429145600694433
news_nearest_offset_hours,0.773597681081565,0.7144401682699948
base_news_count,1.145648670427075,2.187109207391188
base_max_importance,0.9705882352941176,1.1295697663452602
base_actual_sum,28.43920715820575,122.1686554147694
base_forecast_sum,7.668359521890948,30.059832320992818
base_previous_sum,28.325191042170292,121.79170936459344
base_surprise_actual_forecast_sum,20.770847636314798,118.02141598211317
base_surprise_actual_previous_sum,0.1140161160354553,20.868722038312853
quote_news_count,3.1645850120870267,4.220755048079833
quote_max_importance,1.5156459844211658,1.1878196654897883
quote_actual_sum,189.11688181574002,776.36287887338
quote_forecast_sum,104.78526060972334,2787.5339274926737
quote_previous_sum,188.98824630674187,771.9652713237465
quote_surprise_actual_forecast_sum,84.33162120601665,2748.832346495996
quote_surprise_actual_previous_sum,0.12863550899812007,805.8375666782122
